cv_2_pred_quantified_toxicity,quantified_toxicity,smiles,Formulation,Helper_lipid_ID,Comment,Lipid_name,Experiment_ID,Cargo_type,Model_type,Experiment_weight,toxicity_class,unnormalized_toxicity,Prediction_split_name
0.943219,1.0,CCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCC)c1,Lxue,DOPE,Tox,1-a2-6,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
0.943219,1.0,CCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCC)c1,Lxue,DOPE,Tox,1-a2-6b,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
0.943219,1.0,CCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCC)c1,Lxue,DOPE,Tox,1-a2-7,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
0.943219,0.9850333333333332,CCCCCC(C)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(C)CCCCC)c1,Lxue,DOPE,Tox,1-a2-7b,Xue_CAD_LNP,mRNA,HeLa,1.0,0,0.9850333333333332,Xue_CAD_LNP
0.943219,1.0,CCCCC(CC)C(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)C(CC)CCCC)c1,Lxue,DOPE,Tox,1-a2-7b2,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
0.94473356,1.0,CCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCC)c1,Lxue,DOPE,Tox,1-a2-8,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
0.94473356,1.0,CCCCCCCCCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCCCCCCCC)c1,Lxue,DOPE,Tox,1-a2-9,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
0.9438848,1.0,CCCCCC(C)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(C)CCCCC)c1,Lxue,DOPE,Tox,1-a2-9b,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
0.9431992,1.0,CCCCC(CC)CCC(=O)Oc1cc(CNCCN(C)CCN)cc(OC(=O)CCC(CC)CCCC)c1,Lxue,DOPE,Tox,1-a2-9b2,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
0.9428303,1.0,CCCCC(C)CCC(=O)Oc1cc(OC(=O)CCC(C)CCCC)c(CNCCN(C)CCN)c(OC(=O)CCC(C)CCCC)c1,Lxue,DOPE,Tox,1-a3-8b,Xue_CAD_LNP,mRNA,HeLa,1.0,0,1.0,Xue_CAD_LNP
