IL_SMILES,Experiment_value,rel,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,num_protonatable_nitrogens,num_unsaturated_cc_bonds,Num_carbon_in_tail,Dose_ug_nucleicacid,Sample_weight
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,0.5401619940024391,1,35.0,16.0,46.5,2.5,10.0,6.797248209171431,3,42,13.760499999999976,0.7818181818181819,97.74,0,9,64,893.7220877599999,267.7429999999991,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,3.3867851830114097,3,35.0,16.0,46.5,2.5,10.0,6.812792738744174,3,43,14.150599999999974,0.7857142857142857,97.74,0,9,65,907.737737824,272.35999999999916,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,3.0473466101185056,2,35.0,16.0,46.5,2.5,10.0,6.843175156979261,3,42,14.92919999999997,0.7931034482758621,97.74,0,9,67,935.7690379519998,281.5719999999994,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCC1,-0.674095932295874,0,35.0,16.0,46.5,2.5,10.0,6.7815580682309315,3,43,15.333899999999968,0.8035714285714286,80.22999999999999,1,7,63,879.7792087119999,272.9886999999991,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NCCCC)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCC1,0.2140315992398948,1,35.0,16.0,46.5,2.5,10.0,6.7815580682309315,3,46,15.335499999999968,0.8035714285714286,80.22999999999999,1,7,63,879.7792087119999,273.0106999999991,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CCCC(C=NC1CCCCC1)(CCCC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)NCCN1CCCC1,-1.345938476123994,0,35.0,16.0,46.5,2.5,10.0,6.810670425375392,3,44,15.868099999999965,0.8103448275862069,80.22999999999999,1,7,65,905.794858776,280.1086999999992,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,4,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC)N1CCN1CCCC1,3.0315858730146004,2,35.0,16.0,46.5,2.5,10.0,6.801741216475752,3,44,14.208499999999976,0.8545454545454545,97.74,0,9,64,897.7533878879999,267.930999999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN1CCCC1,1.8838470794268656,2,35.0,16.0,46.5,2.5,10.0,6.817216597452694,3,45,14.598599999999973,0.8571428571428571,97.74,0,9,65,911.7690379519998,272.5479999999991,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC1(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN1CCCC1,2.654343916152897,2,35.0,16.0,46.5,2.5,10.0,6.847466913125329,3,44,15.377199999999968,0.8620689655172413,97.74,0,9,67,939.8003380799998,281.7599999999993,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
CCCCCCCC/C=C\CCCCCCCCOC(=O)CCCC(C=NC(C)(C)C)(CCCC(=O)OCCCCCCCC/C=C\CCCCCCCC)NCCN1CCCC1,-0.1316805498256807,1,35.0,16.0,46.5,2.5,10.0,6.786121965510136,3,45,15.781899999999965,0.875,80.22999999999999,1,7,63,883.8105088399999,273.176699999999,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2,18,0.05,1.0
