Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
1A1-P4,2,4,253.2789999999999,0,1
1A1-P5,2,5,267.306,0,1
1A1-P6,2,6,281.333,0,1
1A1-P7,2,7,295.36000000000007,0,1
1A1-P8,2,8,309.3870000000001,0,1
1A1-P9,2,9,323.4140000000001,0,1
1A1-P10,2,10,337.44100000000014,0,1
1A1-P11,2,11,351.4680000000002,0,1
1A1-P12,2,12,365.4950000000002,0,1
1A1-P13,2,13,379.52200000000016,0,1
1A1-P14,2,14,393.5490000000002,0,1
1A1-P15,2,15,407.5760000000002,0,1
1A1-P16,2,16,421.6030000000002,0,1
2A1-P4,2,4,281.333,0,1
2A1-P5,2,5,295.36000000000007,0,1
2A1-P6,2,6,309.3870000000001,0,1
2A1-P7,2,7,323.41400000000016,0,1
2A1-P8,2,8,337.4410000000002,0,1
2A1-P9,2,9,351.4680000000002,0,1
2A1-P10,2,10,365.49500000000023,0,1
2A1-P11,2,11,379.5220000000003,0,1
2A1-P12,2,12,393.54900000000026,0,1
2A1-P13,2,13,407.57600000000025,0,1
2A1-P14,2,14,421.6030000000003,0,1
2A1-P15,2,15,435.6300000000003,0,1
2A1-P16,2,16,449.65700000000027,0,1
3A1-P4,2,4,309.3870000000001,0,1
3A1-P5,2,5,323.41400000000016,0,1
3A1-P6,2,6,337.4410000000002,0,1
3A1-P7,2,7,351.46800000000025,0,1
3A1-P8,2,8,365.4950000000003,0,1
3A1-P9,2,9,379.5220000000003,0,1
3A1-P10,2,10,393.5490000000003,0,1
3A1-P11,2,11,407.5760000000003,0,1
3A1-P12,2,12,421.6030000000003,0,1
3A1-P13,2,13,435.63000000000034,0,1
3A1-P14,2,14,449.6570000000004,0,1
3A1-P15,2,15,463.6840000000004,0,1
3A1-P16,2,16,477.7110000000003,0,1
4A1-P4,2,4,337.44100000000014,0,1
4A1-P5,2,5,351.4680000000002,0,1
4A1-P6,2,6,365.49500000000023,0,1
4A1-P7,2,7,379.5220000000003,0,1
4A1-P8,2,8,393.5490000000003,0,1
4A1-P9,2,9,407.5760000000003,0,1
4A1-P10,2,10,421.6030000000004,0,1
4A1-P11,2,11,435.6300000000005,0,1
4A1-P12,2,12,449.6570000000005,0,1
4A1-P13,2,13,463.6840000000004,0,1
4A1-P14,2,14,477.71100000000047,0,1
4A1-P15,2,15,491.73800000000045,0,1
4A1-P16,2,16,505.7650000000005,0,1
5A1-P4,2,4,365.4950000000002,0,1
5A1-P5,2,5,379.5220000000002,0,1
5A1-P6,2,6,393.54900000000026,0,1
5A1-P7,2,7,407.5760000000003,0,1
5A1-P8,2,8,421.6030000000003,0,1
5A1-P9,2,9,435.6300000000004,0,1
5A1-P10,2,10,449.6570000000005,0,1
5A1-P11,2,11,463.6840000000005,0,1
5A1-P12,2,12,477.7110000000005,0,1
5A1-P13,2,13,491.7380000000005,0,1
5A1-P14,2,14,505.76500000000055,0,1
5A1-P15,2,15,519.7920000000005,0,1
5A1-P16,2,16,533.8190000000004,0,1
6A1-P4,2,4,393.54900000000015,0,1
6A1-P5,2,5,407.5760000000002,0,1
6A1-P6,2,6,421.60300000000024,0,1
6A1-P7,2,7,435.6300000000003,0,1
6A1-P8,2,8,449.6570000000003,0,1
6A1-P9,2,9,463.6840000000004,0,1
6A1-P10,2,10,477.7110000000004,0,1
6A1-P11,2,11,491.73800000000045,0,1
6A1-P12,2,12,505.7650000000005,0,1
6A1-P13,2,13,519.7920000000005,0,1
6A1-P14,2,14,533.8190000000004,0,1
6A1-P15,2,15,547.8460000000003,0,1
6A1-P16,2,16,561.8730000000003,0,1
7A1-P4,3,4,309.38700000000006,0,1
7A1-P5,3,5,323.4140000000001,0,1
7A1-P6,3,6,337.44100000000014,0,1
7A1-P7,3,7,351.4680000000002,0,1
7A1-P8,3,8,365.4950000000003,0,1
7A1-P9,3,9,379.5220000000003,0,1
7A1-P10,3,10,393.5490000000003,0,1
7A1-P11,3,11,407.5760000000003,0,1
7A1-P12,3,12,421.6030000000003,0,1
7A1-P13,3,13,435.63000000000034,0,1
7A1-P14,3,14,449.6570000000004,0,1
7A1-P15,3,15,463.6840000000004,0,1
7A1-P16,3,16,477.7110000000003,0,1
8A1-P4,3,4,365.4950000000002,0,1
8A1-P5,3,5,379.5220000000002,0,1
8A1-P6,3,6,393.5490000000003,0,1
8A1-P7,3,7,407.5760000000003,0,1
8A1-P8,3,8,421.60300000000046,0,1
8A1-P9,3,9,435.6300000000005,0,1
8A1-P10,3,10,449.6570000000005,0,1
8A1-P11,3,11,463.68400000000054,0,1
8A1-P12,3,12,477.7110000000005,0,1
8A1-P13,3,13,491.7380000000005,0,1
8A1-P14,3,14,505.76500000000055,0,1
8A1-P15,3,15,519.7920000000005,0,1
8A1-P16,3,16,533.8190000000004,0,1
9A1-P4,3,4,421.6030000000002,0,1
9A1-P5,3,5,435.6300000000002,0,1
9A1-P6,3,6,449.65700000000027,0,1
9A1-P7,3,7,463.6840000000003,0,1
9A1-P8,3,8,477.71100000000064,0,1
9A1-P9,3,9,491.7380000000006,0,1
9A1-P10,3,10,505.7650000000006,0,1
9A1-P11,3,11,519.7920000000007,0,1
9A1-P12,3,12,533.8190000000005,0,1
9A1-P13,3,13,547.8460000000005,0,1
9A1-P14,3,14,561.8730000000004,0,1
9A1-P15,3,15,575.9000000000002,0,1
9A1-P16,3,16,589.9270000000001,0,1
10A1-P4,3,4,477.7110000000003,0,1
10A1-P5,3,5,491.73800000000034,0,1
10A1-P6,3,6,505.7650000000004,0,1
10A1-P7,3,7,519.7920000000004,0,1
10A1-P8,3,8,533.8190000000003,0,1
10A1-P9,3,9,547.8460000000002,0,1
10A1-P10,3,10,561.8730000000005,0,1
10A1-P11,3,11,575.9000000000004,0,1
10A1-P12,3,12,589.9270000000002,0,1
10A1-P13,3,13,603.9540000000002,0,1
10A1-P14,3,14,617.9810000000001,0,1
10A1-P15,3,15,632.0079999999999,0,1
10A1-P16,3,16,646.0349999999999,0,1
11A1-P4,3,4,533.8190000000003,0,1
11A1-P5,3,5,547.8460000000002,0,1
11A1-P6,3,6,561.8730000000002,0,1
11A1-P7,3,7,575.9000000000001,0,1
11A1-P8,3,8,589.927,0,1
11A1-P9,3,9,603.954,0,1
11A1-P10,3,10,617.9809999999999,0,1
11A1-P11,3,11,632.0079999999998,0,1
11A1-P12,3,12,646.035,0,1
11A1-P13,3,13,660.0619999999999,0,1
11A1-P14,3,14,674.0889999999998,0,1
11A1-P15,3,15,688.1159999999998,0,1
11A1-P16,3,16,702.1429999999996,0,1
12A1-P4,3,4,589.9270000000002,0,1
12A1-P5,3,5,603.9540000000002,0,1
12A1-P6,3,6,617.9810000000001,0,1
12A1-P7,3,7,632.008,0,1
12A1-P8,3,8,646.035,0,1
12A1-P9,3,9,660.0619999999999,0,1
12A1-P10,3,10,674.0889999999998,0,1
12A1-P11,3,11,688.1159999999998,0,1
12A1-P12,3,12,702.1429999999997,0,1
12A1-P13,3,13,716.1699999999996,0,1
12A1-P14,3,14,730.1969999999995,0,1
12A1-P15,3,15,744.2239999999995,0,1
12A1-P16,3,16,758.2509999999993,0,1
13A1-P4,3,4,646.0350000000005,0,1
13A1-P5,3,5,660.0620000000005,0,1
13A1-P6,3,6,674.0890000000004,0,1
13A1-P7,3,7,688.1160000000003,0,1
13A1-P8,3,8,702.1430000000003,0,1
13A1-P9,3,9,716.1700000000002,0,1
13A1-P10,3,10,730.1970000000001,0,1
13A1-P11,3,11,744.224,0,1
13A1-P12,3,12,758.251,0,1
13A1-P13,3,13,772.2779999999999,0,1
13A1-P14,3,14,786.3049999999998,0,1
13A1-P15,3,15,800.3319999999998,0,1
13A1-P16,3,16,814.358999999999,0,1
14A1-P4,4,4,366.5030000000002,0,0
14A1-P5,4,5,380.53000000000026,0,0
14A1-P6,4,6,394.5570000000003,0,0
14A1-P7,4,7,408.58400000000034,0,0
14A1-P8,4,8,422.6110000000005,0,0
14A1-P9,4,9,436.6380000000004,0,0
14A1-P10,4,10,450.6650000000005,0,0
14A1-P11,4,11,464.6920000000005,0,0
14A1-P12,4,12,478.7190000000005,0,0
14A1-P13,4,13,492.7460000000005,0,0
14A1-P14,4,14,506.77300000000054,0,0
14A1-P15,4,15,520.8000000000005,0,0
14A1-P16,4,16,534.8270000000003,0,0
15A1-P4,4,4,450.66500000000025,0,0
15A1-P5,4,5,464.6920000000003,0,0
15A1-P6,4,6,478.71900000000056,0,0
15A1-P7,4,7,492.7460000000006,0,0
15A1-P8,4,8,506.7730000000007,0,0
15A1-P9,4,9,520.8000000000006,0,0
15A1-P10,4,10,534.8270000000006,0,0
15A1-P11,4,11,548.8540000000005,0,0
15A1-P12,4,12,562.8810000000004,0,0
15A1-P13,4,13,576.9080000000002,0,0
