Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
6,2,6,302.5030000000001
8,2,8,358.61100000000016
10,2,10,414.71900000000034
12,2,12,470.82700000000045
14,2,14,526.9350000000005
6-6,2,6,498.7930000000004
6-8,2,8,554.9010000000004
6-10,2,10,611.009
6-12,2,12,667.1169999999997
6-14,2,14,723.2249999999997
8-6,2,8,554.9010000000003
8-8,2,8,611.009
8-10,2,10,667.117
8-12,2,12,723.2249999999998
8-14,2,14,779.3329999999995
10-6,2,10,611.0090000000001
10-8,2,10,667.1170000000001
10-10,2,10,723.2249999999998
10-12,2,12,779.3329999999995
10-14,2,14,835.4409999999992
12-6,2,12,667.1170000000001
12-8,2,12,723.2249999999998
12-10,2,12,779.3329999999995
12-12,2,12,835.4409999999992
12-14,2,14,891.5489999999991
14-6,2,14,723.2249999999998
14-8,2,14,779.3329999999995
14-10,2,14,835.4409999999992
14-12,2,14,891.5489999999991
14-14,2,14,947.6569999999988
MC3,2,19,642.1100000000001
6,2,6,302.5030000000001
8,2,8,358.61100000000016
10,2,10,414.71900000000034
12,2,12,470.82700000000045
14,2,14,526.9350000000005
6-6,2,6,498.7930000000004
6-8,2,8,554.9010000000004
6-10,2,10,611.009
6-12,2,12,667.1169999999997
6-14,2,14,723.2249999999997
8-6,2,8,554.9010000000003
8-8,2,8,611.009
8-10,2,10,667.117
8-12,2,12,723.2249999999998
8-14,2,14,779.3329999999995
10-6,2,10,611.0090000000001
10-8,2,10,667.1170000000001
10-10,2,10,723.2249999999998
10-12,2,12,779.3329999999995
10-14,2,14,835.4409999999992
12-6,2,12,667.1170000000001
12-8,2,12,723.2249999999998
12-10,2,12,779.3329999999995
12-12,2,12,835.4409999999992
12-14,2,14,891.5489999999991
14-6,2,14,723.2249999999998
14-8,2,14,779.3329999999995
14-10,2,14,835.4409999999992
14-12,2,14,891.5489999999991
14-14,2,14,947.6569999999988
MC3,2,19,642.1100000000001
6,2,6,302.5030000000001
8,2,8,358.61100000000016
10,2,10,414.71900000000034
12,2,12,470.82700000000045
14,2,14,526.9350000000005
6-6,2,6,498.7930000000004
6-8,2,8,554.9010000000004
6-10,2,10,611.009
6-12,2,12,667.1169999999997
6-14,2,14,723.2249999999997
8-6,2,8,554.9010000000003
8-8,2,8,611.009
8-10,2,10,667.117
8-12,2,12,723.2249999999998
8-14,2,14,779.3329999999995
10-6,2,10,611.0090000000001
10-8,2,10,667.1170000000001
10-10,2,10,723.2249999999998
10-12,2,12,779.3329999999995
10-14,2,14,835.4409999999992
12-6,2,12,667.1170000000001
12-8,2,12,723.2249999999998
12-10,2,12,779.3329999999995
12-12,2,12,835.4409999999992
12-14,2,14,891.5489999999991
14-6,2,14,723.2249999999998
14-8,2,14,779.3329999999995
14-10,2,14,835.4409999999992
14-12,2,14,891.5489999999991
14-14,2,14,947.6569999999988
MC3,2,19,642.1100000000001
