Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,num_unsaturated_cc_bonds,num_protonatable_nitrogens
a6-1,2,6,355.56700000000006,0,1
a8-1,2,8,411.6750000000002,0,1
a10-1,2,10,467.7830000000003,0,1
a12-1,2,12,523.8910000000004,0,1
a14-1,2,14,579.9990000000005,0,1
a16-1,2,16,636.1070000000004,0,1
a18-1,2,18,692.2150000000001,0,1
a12orn-1,2,12,509.8640000000004,0,1
a12dab-1,2,12,495.8370000000004,0,1
a12dap-1,2,12,481.81000000000034,0,1
e10-1,2,10,499.78100000000046,0,1
e12-1,2,12,555.8890000000002,0,1
e14-1,2,14,611.997,0,1
aam12-1,2,12,637.9949999999999,0,1
aat12-1,2,12,668.0169999999997,0,1
a6-2,4,6,652.0660000000003,0,2
a8-2,4,8,764.2819999999997,0,2
a10-2,4,10,876.497999999999,0,2
a12-2,4,12,988.7139999999986,0,2
a14-2,4,14,1100.9299999999982,0,2
a16-2,4,16,1213.1459999999986,0,2
a18-2,4,18,1325.361999999999,0,2
a12orn-2,4,12,960.6599999999988,0,2
a12dab-2,4,12,932.6059999999987,0,2
a12dap-2,4,12,904.5519999999988,0,2
e10-2,4,10,940.4939999999992,0,2
e12-2,4,12,1052.709999999999,0,2
e14-2,4,14,1164.925999999999,0,2
aam12-2,4,12,1216.921999999999,0,2
aat12-2,4,12,1276.965999999999,0,2
a6-3,6,6,948.5649999999991,0,3
a8-3,6,8,1116.8889999999983,0,3
a10-3,6,10,1285.2129999999986,0,3
a12-3,6,12,1453.5369999999991,0,3
a14-3,6,14,1621.8609999999994,0,3
a16-3,6,16,1790.185,0,3
a18-3,6,18,1958.5090000000005,0,3
a12orn-3,6,12,1411.455999999999,0,3
a12dab-3,6,12,1369.3749999999989,0,3
a12dap-3,6,12,1327.2939999999987,0,3
e10-3,6,10,1381.2069999999997,0,3
e12-3,6,12,1549.5309999999995,0,3
e14-3,6,14,1717.855,0,3
aam12-3,6,12,1795.849,0,3
aat12-3,6,12,1885.915,0,3
a6-4,8,6,1245.063999999999,0,4
a8-4,8,8,1469.4959999999992,0,4
a10-4,8,10,1693.9279999999994,0,4
a12-4,8,12,1918.36,0,4
a14-4,8,14,2142.792,0,4
a16-4,8,16,2367.2240000000006,0,4
a18-4,8,18,2591.6560000000013,0,4
a12orn-4,8,12,1862.252,0,4
a12dab-4,8,12,1806.144,0,4
a12dap-4,8,12,1750.0359999999996,0,4
e10-4,8,10,1821.9200000000003,0,4
e12-4,8,12,2046.3520000000003,0,4
e14-4,8,14,2270.784000000001,0,4
aam12-4,8,12,2374.776,0,4
aat12-4,8,12,2494.8640000000005,0,4
a6-5,10,6,1541.5629999999994,0,5
a8-5,10,8,1822.103,0,5
a10-5,10,10,2102.643,0,5
a12-5,10,12,2383.1830000000004,0,5
a14-5,10,14,2663.7230000000004,0,5
a16-5,10,16,2944.2630000000013,0,5
a18-5,10,18,3224.803000000002,0,5
a12orn-5,10,12,2313.048,0,5
a12dab-5,10,12,2242.913,0,5
a12dap-5,10,12,2172.778,0,5
e10-5,10,10,2262.6330000000003,0,5
e12-5,10,12,2543.173,0,5
e14-5,10,14,2823.7129999999997,0,5
aam12-5,10,12,2953.7029999999995,0,5
aat12-5,10,12,3103.813,0,5
