IL_SMILES,Experiment_value,IL_molratio,HL_molratio,CHL_molratio,PEG_molratio,IL_to_nucleicacid_massratio,molwtlog1p,Nitrogen.Count,Rotatable.Bonds,LogP,Fraction.sp3.Carbons,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,Heavy.Atoms,van.der.Waals.Molecular.Volume,Molar.Refractivity,has_ester,has_carbonate,has_disulfide,Cargo_type_FLuc,Cargo_type_GFP,Model_type_A549,Model_type_BeWo_b30,Model_type_DC2.4,Model_type_HEK293T,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,Model_type_RAW264.7,HL_name_14PA,HL_name_18PG,HL_name_DDAB,HL_name_DOPE,HL_name_DOTAP,HL_name_DSPC,HL_name_MDOA,Dose_ug_nucleicacid,Sample_weight
CCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,5.468071128,42.0,0.0,48.0,10.0,5.0,6.693773381260295,5,46,11.8919,0.93877551,93.78,3,5,57,805.774792,246.9661,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,5.468071128,42.0,0.0,48.0,10.0,5.0,7.367491377072007,10,93,22.7576,0.9375,187.56,6,10,112,1581.502634,482.5842,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCC,5.468071128,42.0,0.0,48.0,10.0,5.0,6.542764424939523,4,40,11.2153,0.953488372,64.68,2,4,49,692.6907281,215.4884,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCCC,5.468071128,42.0,0.0,48.0,10.0,5.0,6.582381031234303,4,42,11.9955,0.955555556,64.68,2,4,51,720.7220282,224.7224,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCNC(=O)CCN(CCCCCO)CCC(=O)NCCCCCCCCCCCC,4.009331809,42.0,0.0,48.0,10.0,5.0,6.368137442403163,3,33,8.3054,0.942857143,81.67,3,4,41,581.5495431,176.3182,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCNC(=O)CCN(C)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,4.009331809,42.0,0.0,48.0,10.0,5.0,6.676246839336298,5,45,11.5018,0.9375,93.78,3,5,56,791.759142,242.3491,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,4.009331809,42.0,0.0,48.0,10.0,5.0,6.926294363245889,6,59,15.2992,0.935483871,122.88,4,6,72,1016.968406,310.7628,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,4.009331809,42.0,0.0,48.0,10.0,5.0,6.939969775046098,6,60,15.6893,0.936507937,122.88,4,6,73,1030.984057,315.3798,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCCCNC(=O)CCN(CCOCC)CCC(=O)NCCCCCCCCCCCCCC,4.009331809,42.0,0.0,48.0,10.0,5.0,6.437834846275473,3,36,9.7397,0.947368421,70.67,2,4,44,623.5964933,190.3424,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
CCCCCCCCCCCCCCNC(=O)CCN(CCCN(CCO)CCO)CCC(=O)NCCCCCCCCCCCCCC,4.009331809,42.0,0.0,48.0,10.0,5.0,6.54842968230814,4,40,8.3799,0.951219512,105.14,4,6,49,696.6492572,209.078,False,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9,1.0
