Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
A1-2,2,10,371.56800000000015
B1-2,2,12,427.6760000000002
C1-2,2,13,507.8060000000004
A2-2,2,10,385.59500000000014
B2-2,2,12,441.70300000000026
C2-2,2,13,521.8330000000003
A3-2,2,10,415.62100000000027
B3-2,2,12,471.7290000000004
C3-2,2,13,551.8590000000003
A4-2,2,10,401.5940000000002
B4-2,2,12,457.70200000000034
C4-2,2,13,537.8320000000002
A5-2,2,10,439.68700000000035
B5-2,2,12,495.79500000000047
C5-2,2,13,575.9250000000003
A6-2,2,10,433.6390000000002
B6-2,2,12,489.7470000000003
C6-2,2,13,569.8770000000002
A7-2,2,10,455.6860000000003
B7-2,2,12,511.79400000000044
C7-2,2,13,591.9240000000001
A8-2,2,10,429.60400000000027
B8-2,2,12,485.7120000000004
C8-2,2,13,565.8420000000003
A9-2,2,10,428.66400000000027
B9-2,2,12,484.7720000000004
C9-2,2,13,564.9020000000003
A10-2,2,10,442.6910000000003
B10-2,2,12,498.79900000000043
C10-2,2,13,578.9290000000003
A11-2,2,10,456.71800000000036
B11-2,2,12,512.8260000000005
C11-2,2,13,592.9560000000002
A12-2,2,10,470.7450000000004
B12-2,2,12,526.8530000000005
C12-2,2,13,606.9830000000002
A13-2,2,10,454.7020000000004
B13-2,2,12,510.8100000000005
C13-2,2,13,590.9400000000002
A14-2,2,10,468.72900000000044
B14-2,2,12,524.8370000000006
C14-2,2,13,604.9670000000001
A15-2,2,10,465.6850000000003
B15-2,2,12,521.7930000000005
C15-2,2,13,601.9230000000002
A16-2,2,10,470.7010000000004
B16-2,2,12,526.8090000000005
C16-2,2,13,606.9390000000002
A17-2,2,10,468.72900000000044
B17-2,2,12,524.8370000000006
C17-2,2,13,604.9670000000001
A18-2,2,10,483.7440000000004
B18-2,2,12,539.8520000000005
C18-2,2,13,619.9820000000001
A19-2,2,10,426.6480000000002
B19-2,2,12,482.75600000000037
C19-2,2,13,562.8860000000003
A20-2,2,10,442.69100000000026
B20-2,2,12,498.7990000000004
C20-2,2,13,578.9290000000003
A21-2,2,10,456.71800000000025
B21-2,2,12,512.8260000000005
C21-2,2,13,592.9560000000004
A22-2,2,10,513.8140000000004
B22-2,2,12,569.9220000000005
C22-2,2,13,650.052
A23-3,3,10,613.9300000000002
B23-3,3,12,698.0920000000001
C23-3,3,13,818.2869999999997
A24-4,4,10,741.1200000000001
B24-4,4,12,853.3359999999996
C24-4,4,13,1013.5959999999992
A25-4,4,10,755.147
B25-4,4,12,867.3629999999996
C25-4,4,13,1027.6229999999994
A26-4,4,10,829.2259999999999
B26-4,4,12,941.4419999999994
C26-4,4,13,1101.701999999999
A27-4,4,10,798.2159999999998
B27-4,4,12,910.4319999999996
C27-4,4,13,1070.6919999999993
A28-4,4,10,826.2699999999999
B28-4,4,12,938.4859999999994
C28-4,4,13,1098.7459999999992
A29-6,6,10,1166.779999999999
B29-6,6,12,1335.1039999999991
C29-6,6,13,1575.4939999999995
A30-4,4,10,881.3499999999997
B30-4,4,12,993.5659999999991
C30-4,4,13,1153.8259999999993
